target,threshold,is_repaired,used_function_name,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,tag
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC270/A/AC/35119485.c::main,174,74220,22290,8609,43160,1
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC271/A/AC/35284976.c::main,562,77819,22232,8618,46814,1
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC271/A/AC/35284076.c::main,927,80208,22172,8726,49162,1
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC265/A/AC/34207074.c::main,606,77242,22268,8516,46323,1
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC271/A/AC/35285498.c::main,3033,109701,22553,8468,78504,1
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC270/A/AC/35145227.c::main,10000,142537,22183,8403,111686,1
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC272/A/AC/35471823.c::main,10000,153398,22191,8108,122820,1
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC270/A/AC/35169825.c::main,10000,151759,22150,8365,120995,1
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC270/A/AC/35385451.c::main,10000,122536,21923,7951,92471,1
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC270/A/AC/35169825.c::main,10000,144670,22231,8278,113926,1
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC270/A/AC/35097535.c::main,10000,153669,22567,8379,122501,1
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC272/A/AC/35471104.c::main,10000,142238,22486,8459,111100,1
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC270/A/AC/35361689.c::main,10000,150736,22486,8118,119877,1
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC269/A/AC/34966150.c::main,10000,160725,22886,8346,129246,1
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC265/A/AC/34292138.c::main,10000,162575,22254,8377,131637,1
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC265/A/AC/35216313.c::main,10000,179901,22297,8463,148885,1
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC270/A/AC/35226580.c::main,10000,156795,22356,8429,125686,1
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC265/A/AC/34208277.c::main,10000,149977,22403,8202,119108,1
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC268/A/AC/34731410.c::main,10000,156080,22060,8244,125561,1
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC265/A/AC/34207186.c::main,10000,170056,22526,8689,138598,1
test/ABC265/A/WA/34231867.c,0.1,false,test/ABC270/A/AC/35115224.c::main,10000,273145,22019,8975,241803,1
test/ABC265/A/WA/34231867.c,0.1,false,test/ABC269/A/AC/34938767.c::main,10000,268428,22829,8678,236602,1
test/ABC265/A/WA/34231867.c,0.1,false,test/ABC265/A/AC/34229857.c::main,10000,272297,22325,8892,240723,1
test/ABC265/A/WA/34231867.c,0.1,false,test/ABC271/A/AC/35287560.c::main,10000,268924,22403,8625,237601,1
test/ABC265/A/WA/34231867.c,0.1,false,test/ABC270/A/AC/35560552.c::main,10000,262741,22592,8673,231061,1
test/ABC265/A/WA/34240301.c,0.1,false,test/ABC267/A/AC/34602905.c::main,10000,181496,22733,8575,149764,1
test/ABC265/A/WA/34240301.c,0.1,false,test/ABC270/A/AC/35399213.c::main,10000,173152,22326,8576,141910,1
test/ABC265/A/WA/34240301.c,0.1,false,test/ABC270/A/AC/35390933.c::main,10000,141529,22131,8545,110589,1
test/ABC265/A/WA/34240301.c,0.1,false,test/ABC270/A/AC/35176787.c::main,10000,187024,21756,8382,156639,1
test/ABC265/A/WA/34240301.c,0.1,false,test/ABC268/A/AC/34729399.c::main,10000,169035,22098,8766,137873,1
test/ABC265/A/WA/34244947.c,0.1,false,test/ABC265/A/AC/34217377.c::main,10000,250938,22060,8508,220122,1
test/ABC265/A/WA/34244947.c,0.1,false,test/ABC265/A/AC/34703927.c::main,10000,251807,22492,8434,220615,1
test/ABC265/A/WA/34244947.c,0.1,false,test/ABC268/A/AC/34742787.c::main,10000,261196,22225,8513,230137,1
test/ABC265/A/WA/34244947.c,0.1,false,test/ABC270/A/AC/35098646.c::main,10000,255020,22137,8488,224104,1
test/ABC265/A/WA/34244947.c,0.1,false,test/ABC265/A/AC/34287781.c::main,10000,258060,22398,8684,226648,1
test/ABC265/A/WA/34283462.c,0.1,false,test/ABC267/A/AC/35532945.c::main,10000,195890,22929,8411,164292,1
test/ABC265/A/WA/34283462.c,0.1,false,test/ABC271/A/AC/35284076.c::main,10000,143617,22141,8252,113048,1
test/ABC265/A/WA/34283462.c,0.1,false,test/ABC271/A/AC/35284076.c::main,10000,160339,22197,8414,129457,1
test/ABC265/A/WA/34283462.c,0.1,false,test/ABC271/A/AC/35285498.c::main,10000,171187,22275,8483,140152,1
test/ABC265/A/WA/34283462.c,0.1,false,test/ABC269/A/AC/34922869.c::main,10000,168247,22525,8361,137089,1
test/ABC265/A/WA/34291691.c,0.1,false,test/ABC269/A/AC/35045726.c::main,10000,174552,22509,8038,143739,1
test/ABC265/A/WA/34291691.c,0.1,false,test/ABC269/A/AC/34959009.c::main,10000,156469,22387,8416,125400,1
test/ABC265/A/WA/34291691.c,0.1,false,test/ABC265/A/AC/34239614.c::main,10000,132043,22649,8174,101039,1
test/ABC265/A/WA/34291691.c,0.1,false,test/ABC265/A/AC/35576836.c::main,10000,141005,22939,8283,109532,1
test/ABC265/A/WA/34291691.c,0.1,false,test/ABC265/A/AC/35026302.c::main,10000,180394,22149,8520,149431,1
test/ABC265/A/WA/34292112.c,0.1,false,test/ABC265/A/AC/34225652.c::main,10000,168857,22371,8152,138138,1
test/ABC265/A/WA/34292112.c,0.1,true,test/ABC265/A/AC/34864279.c::main,2075,83269,21947,8518,52647,1
test/ABC265/A/WA/34292112.c,0.1,true,test/ABC265/A/AC/34346544.c::main,41,66654,22047,8364,36113,1
test/ABC265/A/WA/34292112.c,0.1,false,test/ABC265/A/AC/34218926.c::main,10000,168120,22648,8331,136889,1
test/ABC265/A/WA/34292112.c,0.1,true,test/ABC270/A/AC/35385451.c::main,4074,114129,22661,8755,82493,1
test/ABC265/A/WA/34845370.c,0.1,false,test/ABC270/A/AC/35197025.c::main,10000,206324,22583,8415,174965,1
test/ABC265/A/WA/34845370.c,0.1,false,test/ABC268/A/AC/34729399.c::main,10000,192331,22137,8311,161601,1
test/ABC265/A/WA/34845370.c,0.1,false,test/ABC269/A/AC/34922054.c::main,10000,196494,22679,8409,165111,1
test/ABC265/A/WA/34845370.c,0.1,false,test/ABC267/A/AC/34539706.c::main,10000,186664,22174,8276,155938,1
test/ABC265/A/WA/34845370.c,0.1,false,test/ABC268/A/AC/34735460.c::main,10000,190677,22496,8448,159440,1
test/ABC265/A/WA/35416554.c,0.1,false,test/ABC265/A/AC/34884076.c::main,10000,172836,22343,8653,141595,1
test/ABC265/A/WA/35416554.c,0.1,true,test/ABC270/A/AC/35156600.c::main,1720,76841,22298,8307,46036,1
test/ABC265/A/WA/35416554.c,0.1,false,test/ABC266/A/AC/34381168.c::main,10000,191735,22273,8278,160914,1
test/ABC265/A/WA/35416554.c,0.1,false,test/ABC265/A/AC/34199870.c::main,10000,150335,22208,8240,119638,1
test/ABC265/A/WA/35416554.c,0.1,false,test/ABC271/A/AC/35458089.c::main,10000,180397,22262,8467,149391,1
test/ABC266/A/WA/34387647.c,0.1,true,test/ABC266/A/AC/34371925.c::main,4609,98064,22020,8367,67428,1
test/ABC266/A/WA/34387647.c,0.1,false,test/ABC266/A/AC/34791725.c::main,10000,143957,22426,8598,112702,1
test/ABC266/A/WA/34387647.c,0.1,true,test/ABC266/A/AC/34479155.c::main,411,60202,22271,8233,29552,1
test/ABC266/A/WA/34387647.c,0.1,true,test/ABC266/A/AC/34371925.c::main,5898,108667,22435,8526,77514,1
test/ABC266/A/WA/34387647.c,0.1,false,test/ABC269/A/AC/34971323.c::DigitSum,10000,140246,22194,8251,109537,1
test/ABC266/A/WA/34388373.c,0.1,false,test/ABC270/A/AC/35331864.c::main,10000,216870,22461,8400,185790,1
test/ABC266/A/WA/34388373.c,0.1,false,test/ABC270/A/AC/35095498.c::main,10000,210823,22312,8541,179744,1
test/ABC266/A/WA/34388373.c,0.1,false,test/ABC271/A/AC/35516159.c::main,10000,210110,22429,8405,179065,1
test/ABC266/A/WA/34388373.c,0.1,false,test/ABC268/A/AC/34730622.c::main,10000,208035,22684,8526,176564,1
test/ABC266/A/WA/34388373.c,0.1,true,test/ABC267/A/AC/34536897.c::main,3054,103876,22313,8316,73069,1
test/ABC266/A/WA/34389174.c,0.1,false,test/ABC266/A/AC/34436369.c::main,10000,141093,22396,8108,110406,1
test/ABC266/A/WA/34389174.c,0.1,false,test/ABC270/A/AC/35111191.c::main,10000,140386,22109,8180,109881,1
test/ABC266/A/WA/34389174.c,0.1,true,test/ABC270/A/AC/35103641.c::main,1314,68162,22672,8138,37210,1
test/ABC266/A/WA/34389174.c,0.1,true,test/ABC266/A/AC/34959841.c::main,6137,115430,22260,8582,84336,1
test/ABC266/A/WA/34389174.c,0.1,true,test/ABC266/A/AC/34371925.c::main,6610,118652,22297,8492,87682,1
test/ABC266/A/WA/34478981.c,0.1,false,test/ABC270/A/AC/35169825.c::main,10000,141234,22158,8609,110258,1
test/ABC266/A/WA/34478981.c,0.1,false,test/ABC265/A/AC/34212880.c::main,10000,147447,22249,8473,116518,1
test/ABC266/A/WA/34478981.c,0.1,false,test/ABC272/A/AC/35474950.c::main,10000,147448,22533,8343,116322,1
test/ABC266/A/WA/34478981.c,0.1,false,test/ABC270/A/AC/35115224.c::main,10000,143105,22448,8559,111851,1
test/ABC266/A/WA/34478981.c,0.1,false,test/ABC268/A/AC/34735982.c::main,10000,145004,22308,8482,113986,1
test/ABC266/A/WA/34515128.c,0.1,true,test/ABC266/A/AC/34380892.c::main,1832,97122,22447,8430,66106,1
test/ABC266/A/WA/34515128.c,0.1,false,test/ABC266/A/AC/35175604.c::main,10000,213617,22284,8339,182751,1
test/ABC266/A/WA/34515128.c,0.1,false,test/ABC266/A/AC/34380723.c::main,10000,224169,22322,8413,193230,1
test/ABC266/A/WA/34515128.c,0.1,true,test/ABC266/A/AC/34380892.c::main,8277,192410,21704,8334,162112,1
test/ABC266/A/WA/34515128.c,0.1,false,test/ABC267/A/AC/35531474.c::main,10000,227752,22795,8424,196272,1
test/ABC266/A/WA/34520157.c,0.1,false,test/ABC266/A/AC/35192283.c::main,10000,111786,22383,8360,80841,1
test/ABC266/A/WA/34520157.c,0.1,false,test/ABC267/A/AC/34543026.c::main,10000,113655,22283,8483,82677,1
test/ABC266/A/WA/34520157.c,0.1,false,test/ABC266/A/AC/34378821.c::main,10000,104417,22319,8520,73317,1
test/ABC266/A/WA/34520157.c,0.1,false,test/ABC271/A/AC/35289630.c::main,10000,103143,22185,8397,72359,1
test/ABC266/A/WA/34520157.c,0.1,false,test/ABC266/A/AC/34366727.c::main,10000,113714,22249,8192,83033,1
test/ABC266/A/WA/34520595.c,0.1,false,test/ABC267/A/AC/34541562.c::main,10000,125518,22358,8238,94679,1
test/ABC266/A/WA/34520595.c,0.1,false,test/ABC268/A/AC/34744242.c::main,10000,122092,22358,8244,91273,1
test/ABC266/A/WA/34520595.c,0.1,false,test/ABC270/A/AC/35145073.c::main,10000,124116,22103,8584,93183,1
test/ABC266/A/WA/34520595.c,0.1,false,test/ABC269/A/AC/35063436.c::main,10000,122423,22674,8370,91182,1
test/ABC266/A/WA/34520595.c,0.1,false,test/ABC270/A/AC/35097535.c::main,10000,116500,22437,8418,85402,1
test/ABC266/A/WA/34520659.c,0.1,true,test/ABC267/A/AC/35212931.c::main,4896,78594,22199,8125,48087,1
test/ABC266/A/WA/34520659.c,0.1,false,test/ABC266/A/AC/34374309.c::main,10000,114438,22653,8265,83302,1
test/ABC266/A/WA/34520659.c,0.1,false,test/ABC266/A/AC/34384365.c::main,10000,114731,22544,7975,83977,1
test/ABC266/A/WA/34520659.c,0.1,false,test/ABC271/A/AC/35277402.c::main,10000,123021,22551,8335,91902,1
test/ABC266/A/WA/34520659.c,0.1,false,test/ABC267/A/AC/35532945.c::main,10000,122656,22602,8560,91268,1
test/ABC266/A/WA/34683285.c,0.1,true,test/ABC266/A/AC/35215880.c::main,3966,79830,22252,8330,49071,1
test/ABC266/A/WA/34683285.c,0.1,true,test/ABC266/A/AC/34576430.c::main,130,60184,22407,8300,29345,1
test/ABC266/A/WA/34683285.c,0.1,true,test/ABC265/A/AC/34216403.c::main,8100,104494,22453,8538,73321,1
test/ABC266/A/WA/34683285.c,0.1,false,test/ABC269/A/AC/34928324.c::main,10000,117641,22551,8303,86564,1
test/ABC266/A/WA/34683285.c,0.1,true,test/ABC266/A/AC/35215880.c::main,1241,65204,22092,8481,34494,1
test/ABC266/A/WA/34884528.c,0.1,true,test/ABC268/A/AC/34730622.c::main,2864,103995,22544,8555,72719,1
test/ABC266/A/WA/34884528.c,0.1,true,test/ABC266/A/AC/35175604.c::main,4812,142211,22725,8421,110898,1
test/ABC266/A/WA/34884528.c,0.1,true,test/ABC266/A/AC/34479155.c::main,1076,75707,22265,8604,44673,1
test/ABC266/A/WA/34884528.c,0.1,false,test/ABC271/A/AC/35321630.c::main,10000,220298,22342,8175,189581,1
test/ABC266/A/WA/34884528.c,0.1,true,test/ABC266/A/AC/35261533.c::main,1335,80384,22197,8233,49793,1
test/ABC266/A/WA/35327392.c,0.1,false,test/ABC266/A/AC/34371634.c::main,10000,200210,22689,8734,168545,1
test/ABC266/A/WA/35327392.c,0.1,false,test/ABC266/A/AC/34502248.c::main,10000,202761,22440,8577,171491,1
test/ABC266/A/WA/35327392.c,0.1,false,test/ABC266/A/AC/34370146.c::main,10000,196704,22790,8377,165262,1
test/ABC266/A/WA/35327392.c,0.1,false,test/ABC265/A/AC/34477290.c::main,10000,198978,22335,8682,167690,1
test/ABC266/A/WA/35327392.c,0.1,false,test/ABC266/A/AC/34514691.c::main,10000,198622,22421,8450,167494,1
test/ABC266/A/WA/35464024.c,0.1,false,test/ABC272/A/AC/35560202.c::main,10000,178477,22524,8107,147620,1
test/ABC266/A/WA/35464024.c,0.1,false,test/ABC265/A/AC/34199870.c::main,10000,175378,22514,8014,144620,1
test/ABC266/A/WA/35464024.c,0.1,false,test/ABC270/A/AC/35134819.c::main,10000,172212,22124,8174,141673,1
test/ABC266/A/WA/35464024.c,0.1,false,test/ABC265/A/AC/34218926.c::main,10000,170328,22636,8165,139261,1
test/ABC266/A/WA/35464024.c,0.1,false,test/ABC265/A/AC/34202928.c::main,10000,172255,22319,8171,141579,1
test/ABC267/A/WA/34536872.c,0.1,false,test/ABC270/A/AC/35380208.c::main,10000,169624,21893,8671,138827,1
test/ABC267/A/WA/34536872.c,0.1,false,test/ABC270/A/AC/35380208.c::main,10000,169855,22200,8290,139153,1
test/ABC267/A/WA/34536872.c,0.1,false,test/ABC270/A/AC/35129661.c::main,10000,169448,22369,8285,138565,1
test/ABC267/A/WA/34536872.c,0.1,false,test/ABC267/A/AC/34963495.c::main,10000,171000,22708,8429,139634,1
test/ABC267/A/WA/34536872.c,0.1,false,test/ABC267/A/AC/34546242.c::main,10000,168868,21762,8333,138561,1
test/ABC267/A/WA/34541438.c,0.1,true,test/ABC267/A/AC/35013996.c::main,176,102211,22370,8831,70838,1
test/ABC267/A/WA/34541438.c,0.1,true,test/ABC267/A/AC/34537908.c::main,46,100747,22065,8661,69877,1
test/ABC267/A/WA/34541438.c,0.1,true,test/ABC267/A/AC/34685043.c::main,60,101387,22331,8958,69919,1
test/ABC267/A/WA/34541438.c,0.1,true,test/ABC269/A/AC/35063191.c::main,87,101358,22556,8471,70195,1
test/ABC267/A/WA/34541438.c,0.1,true,test/ABC267/A/AC/34537908.c::main,119,100686,21851,8471,70231,1
test/ABC267/A/WA/34542281.c,0.1,false,test/ABC270/A/AC/35129661.c::main,10000,218957,22490,8433,187785,1
test/ABC267/A/WA/34542281.c,0.1,false,test/ABC268/A/AC/34735982.c::main,10000,197960,21908,8296,167504,1
test/ABC267/A/WA/34542281.c,0.1,false,test/ABC270/A/AC/35129661.c::main,10000,206223,22410,8682,174826,1
test/ABC267/A/WA/34542281.c,0.1,false,test/ABC270/A/AC/35112610.c::main,10000,202180,21881,8606,171430,1
test/ABC267/A/WA/34542281.c,0.1,false,test/ABC270/A/AC/35129661.c::main,10000,217290,22152,8433,186423,1
test/ABC267/A/WA/34554006.c,0.1,false,test/ABC267/A/AC/35187812.c::main,10000,123856,22353,9432,91854,1
test/ABC267/A/WA/34554006.c,0.1,false,test/ABC266/A/AC/34384738.c::main,10000,123577,22266,9422,91691,1
test/ABC267/A/WA/34554006.c,0.1,false,test/ABC266/A/AC/34576430.c::main,10000,124846,22164,9397,93013,1
test/ABC267/A/WA/34554006.c,0.1,false,test/ABC267/A/AC/34685188.c::main,10000,124108,22147,9509,92229,1
test/ABC267/A/WA/34554006.c,0.1,false,test/ABC270/A/AC/35092184.c::main,10000,124161,22482,9591,91848,1
test/ABC267/A/WA/34565403.c,0.1,true,test/ABC267/A/AC/35187812.c::main,5600,154650,22655,8108,123695,1
test/ABC267/A/WA/34565403.c,0.1,true,test/ABC267/A/AC/35463333.c::main,1073,125117,22272,8685,93961,1
test/ABC267/A/WA/34565403.c,0.1,true,test/ABC267/A/AC/35187812.c::main,1673,127489,22249,8402,96679,1
test/ABC267/A/WA/34565403.c,0.1,true,test/ABC267/A/AC/35463333.c::main,1076,125197,22455,8607,93922,1
test/ABC267/A/WA/34565403.c,0.1,true,test/ABC267/A/AC/35463333.c::main,2892,132715,22719,8348,101484,1
test/ABC267/A/WA/34584088.c,0.1,true,test/ABC267/A/AC/34531029.c::main,301,112229,22091,8290,81713,1
test/ABC267/A/WA/34584088.c,0.1,true,test/ABC267/A/AC/34541252.c::main,468,113454,22650,8535,82126,1
test/ABC267/A/WA/34584088.c,0.1,true,test/ABC267/A/AC/34531029.c::main,1343,117481,22539,8696,86072,1
test/ABC267/A/WA/34584088.c,0.1,true,test/ABC267/A/AC/34541731.c::main,199,112138,22277,8227,81493,1
test/ABC267/A/WA/34584088.c,0.1,true,test/ABC267/A/AC/34537908.c::main,241,114486,22693,8527,83090,1
test/ABC267/A/WA/34640273.c,0.1,false,test/ABC267/A/AC/34661016.c::main,10000,264784,22377,8362,233824,1
test/ABC267/A/WA/34640273.c,0.1,false,test/ABC268/A/AC/34753032.c::main,10000,273661,22111,8789,242518,1
test/ABC267/A/WA/34640273.c,0.1,false,test/ABC267/A/AC/34860131.c::main,10000,271958,22556,8402,240740,1
test/ABC267/A/WA/34640273.c,0.1,false,test/ABC267/A/AC/35187812.c::main,10000,269314,22317,8650,238080,1
test/ABC267/A/WA/34640273.c,0.1,false,test/ABC267/A/AC/34661016.c::main,10000,269586,22149,8743,238454,1
test/ABC267/A/WA/34683954.c,0.1,true,test/ABC269/A/AC/34939058.c::main,8417,212082,22488,8385,180964,1
test/ABC267/A/WA/34683954.c,0.1,false,test/ABC267/A/AC/35512854.c::main,10000,209670,22438,8556,178450,1
test/ABC267/A/WA/34683954.c,0.1,true,test/ABC267/A/AC/34531029.c::main,630,152336,22587,8480,121122,1
test/ABC267/A/WA/34683954.c,0.1,true,test/ABC270/A/AC/35095739.c::main,5221,177670,22338,8416,146667,1
test/ABC267/A/WA/34683954.c,0.1,true,test/ABC267/A/AC/34541252.c::main,1637,157703,22292,8336,126916,1
test/ABC267/A/WA/34838928.c,0.1,false,test/ABC270/A/AC/35129661.c::main,10000,141690,22654,8695,110077,1
test/ABC267/A/WA/34838928.c,0.1,false,test/ABC267/A/AC/34537248.c::main,10000,141351,22787,8306,110042,1
test/ABC267/A/WA/34838928.c,0.1,false,test/ABC267/A/AC/34554996.c::main,10000,141193,22077,8349,110559,1
test/ABC267/A/WA/34838928.c,0.1,false,test/ABC267/A/AC/34546242.c::main,10000,139903,21700,8312,109688,1
test/ABC267/A/WA/34838928.c,0.1,false,test/ABC270/A/AC/35145227.c::main,10000,140711,22500,8308,109696,1
test/ABC267/A/WA/35017179.c,0.1,true,test/ABC267/A/AC/34608714.c::main,269,80682,22111,8444,49984,1
test/ABC267/A/WA/35017179.c,0.1,true,test/ABC267/A/AC/34630634.c::main,1502,93889,22474,8644,62624,1
test/ABC267/A/WA/35017179.c,0.1,true,test/ABC267/A/AC/35004028.c::main,2298,103537,22648,8443,72293,1
test/ABC267/A/WA/35017179.c,0.1,true,test/ABC267/A/AC/34537180.c::main,3578,119529,22337,8599,88411,1
test/ABC267/A/WA/35017179.c,0.1,true,test/ABC271/A/AC/35285498.c::main,920,84654,22477,8286,53751,1
test/ABC267/A/WA/35033785.c,0.1,true,test/ABC267/A/AC/34639032.c::main,36,165292,22672,8748,133718,1
test/ABC267/A/WA/35033785.c,0.1,true,test/ABC267/A/AC/35034220.c::main,1853,174131,22336,8874,142756,1
test/ABC267/A/WA/35033785.c,0.1,true,test/ABC265/A/AC/34279251.c::main,1963,173835,22300,8851,142530,1
test/ABC267/A/WA/35033785.c,0.1,true,test/ABC267/A/AC/34537908.c::main,1237,175051,22472,8773,143510,1
test/ABC267/A/WA/35033785.c,0.1,true,test/ABC267/A/AC/34537811.c::main,357,166694,22602,8809,135131,1
test/ABC267/A/WA/35531401.c,0.1,false,test/ABC267/A/AC/34989934.c::main,10000,160168,22786,8338,128822,1
test/ABC267/A/WA/35531401.c,0.1,true,test/ABC267/A/AC/35463333.c::main,5953,124416,22279,8651,93276,1
test/ABC267/A/WA/35531401.c,0.1,false,test/ABC267/A/AC/34628416.c::main,10000,161905,22484,8650,130508,1
test/ABC267/A/WA/35531401.c,0.1,false,test/ABC271/A/AC/35358435.c::main,10000,158921,22177,8484,127997,1
test/ABC267/A/WA/35531401.c,0.1,false,test/ABC267/A/AC/35556417.c::main,10000,148400,22674,8382,117124,1
test/ABC268/A/WA/34733903.c,0.1,false,test/ABC268/A/AC/34842489.c::main,10000,259134,22702,8588,227611,1
test/ABC268/A/WA/34733903.c,0.1,true,test/ABC271/A/AC/35287560.c::main,2083,175266,22240,8527,144353,1
test/ABC268/A/WA/34733903.c,0.1,true,test/ABC271/A/AC/35420077.c::main,252,155373,22764,8772,123641,1
test/ABC268/A/WA/34733903.c,0.1,true,test/ABC271/A/AC/35284076.c::main,2989,181026,22150,8308,150403,1
test/ABC268/A/WA/34733903.c,0.1,true,test/ABC268/A/AC/35191898.c::main,3963,190700,22210,8521,159796,1
test/ABC268/A/WA/34749049.c,0.1,false,test/ABC267/A/AC/34541252.c::main,10000,139063,22471,8666,107723,1
test/ABC268/A/WA/34749049.c,0.1,false,test/ABC268/A/AC/34736093.c::main,10000,144194,22091,8410,113486,1
test/ABC268/A/WA/34749049.c,0.1,false,test/ABC270/A/AC/35101676.c::main,10000,142836,22247,8817,111553,1
test/ABC268/A/WA/34749049.c,0.1,false,test/ABC270/A/AC/35185320.c::main,10000,145419,22434,8845,113878,1
test/ABC268/A/WA/34749049.c,0.1,false,test/ABC270/A/AC/35129661.c::main,10000,146019,22294,8611,114904,1
test/ABC268/A/WA/34750477.c,0.1,false,test/ABC270/A/AC/35361196.c::main,10000,221492,22711,8513,190025,1
test/ABC268/A/WA/34750477.c,0.1,false,test/ABC268/A/AC/34963561.c::main,10000,223785,22376,8515,192629,1
test/ABC268/A/WA/34750477.c,0.1,false,test/ABC270/A/AC/35106177.c::main,10000,226807,22416,8757,195361,1
test/ABC268/A/WA/34750477.c,0.1,false,test/ABC267/A/AC/34542394.c::main,10000,220655,22296,8254,189887,1
test/ABC268/A/WA/34750477.c,0.1,false,test/ABC272/A/AC/35524334.c::sumf,10000,228330,22537,8570,196949,1
test/ABC268/A/WA/34751176.c,0.1,true,test/ABC272/A/AC/35471823.c::main,514,107163,22073,8693,76262,1
test/ABC268/A/WA/34751176.c,0.1,true,test/ABC272/A/AC/35479480.c::main,1944,119325,22029,8664,88487,1
test/ABC268/A/WA/34751176.c,0.1,true,test/ABC272/A/AC/35471301.c::main,1078,110962,22020,8500,80306,1
test/ABC268/A/WA/34751176.c,0.1,true,test/ABC272/A/AC/35479310.c::main,1126,112843,22627,8905,81135,1
test/ABC268/A/WA/34751176.c,0.1,true,test/ABC268/A/AC/34744880.c::main,1581,115157,22119,8687,84201,1
test/ABC268/A/WA/34751535.c,0.1,true,test/ABC268/A/AC/34744880.c::main,253,107169,22504,8631,75898,1
test/ABC268/A/WA/34751535.c,0.1,true,test/ABC272/A/AC/35470512.c::main,739,107829,22573,8560,76559,1
test/ABC268/A/WA/34751535.c,0.1,true,test/ABC268/A/AC/34753032.c::main,591,107204,22216,8752,76063,1
test/ABC268/A/WA/34751535.c,0.1,true,test/ABC272/A/AC/35471060.c::main,2368,123318,22209,8605,92324,1
test/ABC268/A/WA/34751535.c,0.1,true,test/ABC268/A/AC/34851397.c::main,294,107092,22538,8673,75723,1
test/ABC268/A/WA/34809860.c,0.1,false,test/ABC267/A/AC/34541473.c::main,10000,236643,22332,8147,205924,1
test/ABC268/A/WA/34809860.c,0.1,false,test/ABC271/A/AC/35331885.c::main,10000,237630,22039,8183,207177,1
test/ABC268/A/WA/34809860.c,0.1,false,test/ABC271/A/AC/35331885.c::main,10000,233378,21837,8419,202883,1
test/ABC268/A/WA/34809860.c,0.1,false,test/ABC268/A/AC/34917541.c::main,10000,239971,23210,8635,207854,1
test/ABC268/A/WA/34809860.c,0.1,false,test/ABC268/A/AC/34732866.c::main,10000,238507,22505,8597,207104,1
test/ABC268/A/WA/34852790.c,0.1,true,test/ABC269/A/AC/35063683.c::main,34,91270,22241,8660,60234,1
test/ABC268/A/WA/34852790.c,0.1,true,test/ABC268/A/AC/35580540.c::main,452,96174,22473,8885,64640,1
test/ABC268/A/WA/34852790.c,0.1,true,test/ABC271/A/AC/35278318.c::main,1175,103979,22193,8324,73269,1
test/ABC268/A/WA/34852790.c,0.1,true,test/ABC271/A/AC/35287560.c::main,72,91084,22231,8591,60135,1
test/ABC268/A/WA/34852790.c,0.1,true,test/ABC268/A/AC/34735636.c::main,152,95928,22431,8551,64779,1
test/ABC268/A/WA/34989492.c,0.1,false,test/ABC268/A/AC/34846471.c::main,10000,210846,22368,8332,179899,1
test/ABC268/A/WA/34989492.c,0.1,false,test/ABC270/A/AC/35113302.c::main,10000,212987,22063,8865,181772,1
test/ABC268/A/WA/34989492.c,0.1,false,test/ABC267/A/AC/34535328.c::main,10000,211415,21662,8325,181211,1
test/ABC268/A/WA/34989492.c,0.1,false,test/ABC271/A/AC/35321630.c::main,10000,213915,21987,8232,183459,1
test/ABC268/A/WA/34989492.c,0.1,false,test/ABC270/A/AC/35417682.c::main,10000,206935,22341,8517,175843,1
test/ABC268/A/WA/35403545.c,0.1,false,test/ABC265/A/AC/35404015.c::main,10000,158164,22796,8533,126571,1
test/ABC268/A/WA/35403545.c,0.1,false,test/ABC270/A/AC/35128625.c::main,10000,159584,22138,8526,128635,1
test/ABC268/A/WA/35403545.c,0.1,false,test/ABC272/A/AC/35474114.c::main,10000,150301,22048,8457,119587,1
test/ABC268/A/WA/35403545.c,0.1,false,test/ABC267/A/AC/34545523.c::main,10000,156906,21984,8702,125908,1
test/ABC268/A/WA/35403545.c,0.1,false,test/ABC270/A/AC/35106730.c::main,10000,164536,22384,8277,133609,1
test/ABC268/A/WA/35585114.c,0.1,false,test/ABC268/A/AC/34917541.c::main,10000,210177,22500,8435,179008,1
test/ABC268/A/WA/35585114.c,0.1,false,test/ABC268/A/AC/35571778.c::main,10000,208984,22405,8626,177690,1
test/ABC268/A/WA/35585114.c,0.1,true,test/ABC270/A/AC/35361196.c::main,2280,128241,22091,8553,97437,1
test/ABC268/A/WA/35585114.c,0.1,false,test/ABC270/A/AC/35399213.c::main,10000,209356,22381,8820,177919,1
